unique.points.land_use.
NA
Do
do
pasture
Mill & Homestead
Pasture
Arable & Hay
Arable
Hay
Plantation
Wood
arable & Hay
arable
arable & pasture
arable & pas
du du
du
Arable & Pasture
ara & pas
Hay & Pasture
hay
Arable Wood & pasture
Orchard etc
Arable Pasture & Wood
Barley
Pool
Pasture & Waste
Waste
Ara & Pas.
Ara. & Pas.
Ara & pas.
ARa & pas.
pas & Hay
ara. & pasture
Ara. & Hay
Arable Hay & pasture
Garden
Arable & pasture
Arable Hay & Pasture
Ara Wood + Pas
Ara + Pas.
Arable + Hay
Ara + Pas
Ara + Hay
Arable + Pas
arable + Hay
Ara Hay + Pas
ara + Hay
Ara Hay + pas
wodd
Arable & pas.
Arbable
Ara + pas
Garden etc
Arable & hay
Cottage
Arable & House
Arable Wood & Pasture
ara and pas
Ara & Hay
Ara & Pas
Ara Hay & Pas
Arable & Waste
Wood & Road
Pasture & Turf
Ara & Pasture
Ara & Past
Turf
Arable & Pas
Hay Arable & Pasture
Arable & Cottage
Arable Pasture & Hay
Brought forward
Cottage & Garden
Ornamental Wood
pastured
arasble
Homestead
Sheep Fold
Old Pasture
Turbary Pasture
Gorse
Wood & Pasture
Pasture Moory
Wood Mine & Waste
Pasture & Arable
Hay & pasture
Ara & pasture
ara & pasture
ara & Hay
Ara & pas
Gardens & Gounds
Hay + Wood
plantation
House & Garden
Homestead &c &c
PasturePasture
Ara
Hay & pas.
Ara pas & Hay
Ara & hay
Hay & Pas
Ara Pas & Hay
pasture & ara
rough wood
Wood & Pas
Sheepwalk
ara Hay & pas
Ara Hay & Pas.
Hay & pas
Hay & Pas.
Turf & Waste
Meadow
Arable and Pasture
Pasture and Wood
Wood and Pasture
Pasture & Wood
Arable and Meadow
Turbary and Pasture
Pasture and Turbery
Arable and pasture
Meadow & pasture
Arable & Meadow
Roads
Pasture and Turbary
Pasture and Arable
Meadow and Pasture
Pasture and Meadow
Meadow & Pasture
Pasture & Meadow
Rough
Wood and Waste
Pasture & Turbary
Meadow & Turbary
Crigarn
Llanbadarn
Part of Pen Y cnwc
.
Arable 7 pasture
Pasture & wood
Meadow & arable
Wood & pasture
Pasture and wood
water
Arable & meadow
Wood and pasture
ArableArable
wood & pasture
Arable and meadow
Ara Mea & pasture
wood
Pasture & meadow
meadow
pastuure
Arableand pasture
pasture & wood
Arable&meadow
Arable& meadow
Ara. & Mea.
Bog
"do,"
Clay
Meadow & pas.
Turbery
Ara & mea
various
!
Ara & mead
Mead & ara
*
Ara & Mead
A.m. & p.
""""
Ara pas
Ara: Mead
"Ara, mead"
Penybryn
2
ditto
",,"
Mea. & wood
do do
"pas, mea"
Mea; Ara:
Mea; ara:
d0
Ross
pas ara
Tur: pas :
pas
Med
Ara Mea
Ara Pas
ara mea
Pas
Mead
Wood ara
House
Ffynnon Crippel
do including house etc
Llan
576
do including Cottage etc
Road
Oat Stubble
Wheat
Stubble
Furze
Ryegrass
Clover
Part arable part rough
Part pasture part rough
Part Pasture Part rough
Part Arable Part Pasture
Part Barley Part Pasture
"Field no. 1, 3 to 6, 19 & 20."
"Field no. 2, 13 to 16, 64 to 66."
Plan no. 23 to 26
Plan no. 67 to 69.
Plan no. 105 to 107a.
Part Pasture Part Arable
Waste and pasture
Wood & road
Pasture and arable
Meadow and Arable
Arable and Wood
Arable pasture and meadow
Gwerncoly
Troedyrhiew
Jenkins John
Pasture & barley
Oats
Potatoes
Cats
Pas & clover
mead w
Pas hilly
Oats & Pas
Arable & pas
Gardens
Meadw
"do,wheat"
Moors
Oats etc
Turbury
Arable etc
Pasture etc
1
4
8
15
6
Alltucha
House etc
Part Pasture
Pasture or Arable
Houses etc
Houses &c
Pasture a Meadow
Cotte & Garden
Pasture or Meadow
Plantation & Garden
Houses Garden etc
Private roads
Cotte & Gardens
Ryegrass & Clover
Rough Pasture
Pasture Arable & Furze
Cottages & Gardens
Houeses etc
Rye Grass & Clover
Houses Gardens etc
Rough pasture
Pasture & Furze
House Garden etc
Cotte & Gar
Arable & Furze
Pas or Mea
Pas & Furze
Part of a Meadow
Hay & Wood
Arable & Wood
"Arable, Wood & Hay"
pasture and Gravel
Orchard and Garden
Orchard
ara. pas. & Hay
Ara. & pasture
Ara pas. & Hay
pas. & Garden
Yards & Garden
pas. etc
Hay & Arable
""" [Arable]"
Ara. Hay & pasture
Woody pasture
Homestead etc
Ara & Fallow
Ara & Wood
Ara and pasture
Arable and Hay
Ara & Wet lands
Homestead etc.
Ara Wood & pasture
Close etc
Ara & Waste
Gorse Cover
Gravel & Waste
Ara Hay & pasture
Garden etc.
Old pasture
Fox Cover
Hay and arable
pasture and arable
Hay and pasture
do pasture
Lea
Arable and past
Arable and do
Coppice wood
Hay Wood and pasture
Arable and Brushwood
arable and pasture
House & pasture
"Ara, pas, & Buildings"
Lane
Ara. pas. & Hay
Hay ara & Waste
Ara Hay & past
do.
Haggaid
Lanes etc.
waste & pasture??
Hay & arable
Seeds & Hay
Hay wood & pasture
Arable& pasture
do & Pasture
Rough Gorse
Arable & Fallow
Pasture & Rocks
Wood & Waste
"Arable & Hay, pasture, arable"
pasture & Quarry
Plantation & Arable
Waste & Arable
Hay & Waste
Arable & Rough
Clover & Hay
Arable + pasture
Arable + pas
Arable & past.
Arable + do
Arable + past
Arable & past
arable & pas.
House & Pas
Arable Hay
River pasture & waste
Peterwell Old Common
Cae John
Cae Llwydd
Black Lion Inn Lands
Cottage Garden
20
Ara(ble) & Pas(ture)
Moor &c.
Pasture &c.
Arable & Mead
Hughes Willliam
Moory pas
Moor pas.
Ara & Moor
Pas & Moor
Mead & Pas
Moory Mead
Arable &c.
Moory pasture
arable and moor
moory mead
moory pasture
Ara(ble) & Moor
Ara Pas & Mead
Arable &c
